date,open,high,low,close,wave
2017/7/21,3236.588,3247.712,3231.956,3237.982,0.002121198
2017/7/24,3230.898,3261.105,3230.071,3250.599,-0.003896563
2017/7/25,3249.138,3261.645,3233.138,3243.689,0.002125762
2017/7/26,3244.461,3264.848,3228.039,3247.675,-0.001228848
2017/7/27,3243.765,3251.926,3220.637,3249.781,-0.000648464
2017/7/28,3240.173,3256.371,3232.963,3253.24,-0.001064379
2017/7/31,3252.752,3276.946,3251.194,3273.028,-0.006082552
2017/8/1,3274.369,3292.638,3273.504,3292.638,-0.005991394
2017/8/2,3288.518,3305.431,3282.038,3285.057,0.002302409
2017/8/3,3279.986,3293.369,3262.155,3272.929,0.003691869
2017/8/4,3269.318,3287.193,3261.307,3262.081,0.003314462
2017/8/7,3257.67,3280.104,3243.715,3279.457,-0.005326661
2017/8/8,3277.189,3285.483,3269.658,3281.873,-0.000736707
2017/8/9,3277.808,3277.943,3263.847,3275.573,0.001919636
2017/8/10,3269.735,3282.519,3236.183,3261.749,0.00422033
2017/8/11,3237.922,3245.116,3200.748,3208.541,0.016312721
2017/8/14,3206.044,3240.052,3206.044,3237.36,-0.008981964
2017/8/15,3235.23,3263.589,3235.101,3251.262,-0.00429424
2017/8/16,3247.853,3248.785,3228.871,3246.451,0.001479733
2017/8/17,3253.846,3269.139,3251.459,3268.43,-0.006770162
2017/8/18,3253.243,3275.076,3248.083,3268.724,-8.99514E-05
2017/8/21,3274.581,3287.519,3270.475,3286.906,-0.005562415
2017/8/22,3287.615,3293.476,3274.941,3290.226,-0.001010068
2017/8/23,3283.797,3299.457,3274.44,3287.705,0.000766209
2017/8/24,3287.959,3297.989,3266.359,3271.512,0.00492532
2017/8/25,3271.461,3331.915,3271.461,3331.522,-0.0183432
2017/8/28,3336.126,3375.034,3336.126,3362.651,-0.009343777
2017/8/29,3362.06,3374.595,3354.463,3365.226,-0.000765765
2017/8/30,3361.821,3376.648,3357.08,3363.627,0.000475154
2017/8/31,3361.462,3367.358,3340.687,3360.81,0.000837489
2017/9/1,3365.991,3381.925,3358.472,3367.119,-0.001877226
2017/9/4,3369.719,3381.403,3359.131,3379.583,-0.003701681
2017/9/5,3377.197,3390.823,3371.571,3384.317,-0.001400765
2017/9/6,3372.428,3391.011,3364.765,3385.389,-0.000316755
2017/9/7,3383.628,3387.796,3363.177,3365.497,0.005875839
2017/9/8,3364.428,3380.89,3353.688,3365.243,7.54718E-05
2017/9/11,3365.351,3384.81,3360.046,3376.419,-0.003321008
2017/9/12,3381.487,3391.069,3370.852,3379.488,-0.000908951
2017/9/13,3374.719,3387.14,3366.541,3384.147,-0.001378611
2017/9/14,3383.47,3391.644,3361.334,3371.426,0.003758997
2017/9/15,3365.145,3365.528,3345.328,3353.619,0.005281741
2017/9/18,3352.513,3371.749,3352.513,3362.859,-0.002755232
2017/9/19,3365.532,3370.401,3344.705,3356.845,0.001788359
2017/9/20,3352.185,3370.098,3346.536,3365.996,-0.002726072
2017/9/21,3364.698,3377.884,3356.875,3357.812,0.002431375
2017/9/22,3347.157,3356.451,3334.985,3352.529,0.001573346
2017/9/25,3344.589,3350.961,3334.944,3341.549,0.003275139
2017/9/26,3336.35,3347.163,3332.599,3343.583,-0.0006087
2017/9/27,3340.822,3349.695,3340.299,3345.272,-0.000505147
2017/9/28,3343.845,3344.601,3336.178,3339.642,0.001682972
2017/9/29,3340.311,3357.015,3340.311,3348.943,-0.002785029
2017/10/9,3403.246,3410.17,3366.965,3374.378,-0.007594934
2017/10/10,3373.345,3384.026,3358.795,3382.988,-0.002551581
2017/10/11,3381.488,3395.779,3379.163,3388.284,-0.00156548
2017/10/12,3385.533,3390.204,3372.533,3386.1,0.000644574
2017/10/13,3384.488,3395.748,3383.239,3390.523,-0.001306222
2017/10/16,3393.206,3400.511,3374.769,3378.47,0.003554909
2017/10/17,3373.234,3382.407,3365.565,3372.041,0.001902932
2017/10/18,3373.528,3383.232,3371.925,3381.794,-0.002892314
2017/10/19,3374.644,3378.736,3359.628,3370.172,0.003436637
2017/10/20,3363.514,3379.765,3360.1,3378.648,-0.002515005
2017/10/23,3382.28,3385.285,3374.705,3380.699,-0.000607048
2017/10/24,3376.599,3388.689,3374.125,3388.248,-0.00223297
2017/10/25,3384.858,3398.304,3382.034,3396.898,-0.002552942
2017/10/26,3397.519,3414.242,3391.455,3407.567,-0.003140807
2017/10/27,3404.498,3421.103,3402.114,3416.812,-0.002713079
2017/10/30,3413.868,3419.732,3357.276,3390.337,0.007748451
2017/10/31,3380.999,3397.099,3376.124,3393.342,-0.000886343
2017/11/1,3393.968,3410.352,3388.598,3395.913,-0.00075766
2017/11/2,3391.652,3391.652,3372.213,3383.31,0.003711226
2017/11/3,3377.736,3380.57,3347.36,3371.744,0.003418546
2017/11/6,3369.685,3389.383,3356.534,3388.174,-0.004872849
2017/11/7,3389.472,3415.148,3387.946,3413.575,-0.007496959
2017/11/8,3409.147,3434.492,3404.881,3415.46,-0.000552207
